ProjectName,ProjectID,ProjectType,Permits,Map,ProjectStatus,PermitStatus,Municipality,County,DEPRegion,Latitude,Longitude
Project Hazelnut (NorthPoint Development),10000001,Data Center,YES,YES,Under Review,Pending,Hazle Township,Luzerne,Northeast,40.956861,-76.035028
Salem Township Data Center Development (Amazon Web Services) - Phase 1,10000002,Data Center,YES,YES,DEP Review Complete,Complete,Salem Township,Luzerne,Northeast,41.109278,-76.143611
Project Gravity (Archbald 25 Developer LLC),10000003,Data Center,YES,YES,Under Review,Pending,Archbald Borough,Lackawanna,Northeast,41.524918,-75.562403
Kline Township Data Center Development (Amazon Web Services),10000004,Data Center,YES,YES,Under Review,Pending,Kline Township,Schuylkill,Northeast,40.880089,-76.013999
Project Boson / Highway Auto Data Center (Kriger Construction Company),10000005,Data Center,YES,YES,Under Review,Pending,Archbald Borough,Lackawanna,Northeast,41.512042,-75.558133
Project Atlas (Edged US / CDE Acquisitions),10000006,Data Center,YES,YES,Under Review,Pending,South Whitehall Township,Lehigh,Northeast,40.643472,-75.537083
Carbon Node East / Panther Creek (Keel Infrastructure),10000007,Data Center,YES,YES,Under Review,Pending,Nesquehoning Borough,Carbon,Northeast,40.856052,-75.876873
QTS Salem (QTS Data Centers),10000008,Data Center,YES,YES,Under Review,Pending,Salem Township,Luzerne,Northeast,41.069512,-76.170543
Falls Township Data Center Development (Amazon Web Services) - Phase 1,10000009,Data Center,YES,YES,DEP Review Complete,Complete,Falls Township,Bucks,Southeast,40.154944,-74.744417
Project Forge Data Center (Sentinel Green Fig LLC),10000010,Data Center,YES,YES,Under Review,Pending,East Whiteland Township,Chester,Southeast,40.039418,-75.587083
Pennsylvania Digital 1 (PAX-1) (Pennsylvania Data Center Partners),10000011,Data Center,YES,YES,Under Review,Pending,Middlesex Township,Cumberland,Southcentral,40.255656,-77.118747
216 Greenfield Road (Chirisa Technology Parks),10000012,Data Center,YES,YES,DEP Review Complete,Complete,Lancaster City,Lancaster,Southcentral,40.04868,-76.259216
Unnamed Data Center (Homer City Redevelopment LLC),10000013,Data Center,NO,YES,Proposed (No Applications Received),UnsubmittedUnlocated,Center Township,Indiana,Northwest,40.511509,-79.197647
Project Phoenix (Aligned Data Centers) - Phase 1,10000014,Data Center,YES,YES,Under Review,Pending,Shippingport Borough,Beaver,Southwest,40.633333,-80.418083
Highridge Data (NorthPoint Development) Project Nebius,10000015,Data Center,YES,YES,Under Review,Pending,Butler Township,Schuylkill,Northeast,40.739419,-76.30971
Wyalusing Energy Center (Klondike Digital Infrastructure) ,10000016,Data Center,YES,YES,Under Review,Pending,Wyalusing Township,Bradford,Northcentral,41.653734,-76.234913
Project Hummingbird (International Electric Power),10000017,Data Center,NO,YES,Proposed (No Applications Received),UnsubmittedLocated,Monongahela Township,Greene,Southwest,39.836695,-79.934643
Pittsburgh International Race Complex Data Center (Wampum I LLC),10000018,Data Center,YES,YES,Under Review,Pending,Big Beaver Borough,Beaver,Southwest,40.849164,-80.345682
Springdale Data Center (Allegheny DC Property Co. LLC),10000019,Data Center,YES,YES,Under Review,Pending,Springdale Borough,Allegheny ,Southwest,40.538293,-79.789708
Keystone Connect (TECfusions),10000020,Data Center,YES,YES,DEP Review Complete,Complete,Upper Burrell Township,Westmoreland,Southwest,40.548872,-79.646673
Sharon Data Center Project (Keel Infrastructure),10000021,Data Center,YES,YES,Under Review,Pending,City of Sharon,Mercer,Northwest,41.244194,-80.504278
Starpointe Data Center (Prime Data Centers),10000022,Data Center,YES,YES,Under Review,Pending,Hanover Township,Washington,Southwest,40.429087,-80.410839
Spring Mountain Quakake Tunnel (NorthPoint Development),10000023,Data Center,NO,YES,Proposed (No Applications Received),UnsubmittedLocated,Spring Mountain / Packer / Banks Townships,Carbon,Northeast,40.919672,-75.919695
Linde Data Center / Forest City Energy Center LLC,10000024,Data Center,NO,YES,Proposed (No Applications Received),UnsubmittedLocated,Clinton Township,Wayne,Northeast,41.645475,-75.451135
Nescopeck / Valley View Wood Data Center,10000025,Data Center,NO,YES,Proposed (No Applications Received),UnsubmittedUnlocated,Nescopeck Township,Luzerne,Northeast,41.038306,-76.169701
Unnamed Data Centers (Archbald I LLC / Archbald II LLC),10000026,Data Center,NO,YES,Proposed (No Applications Received),UnsubmittedLocated,Archbald Borough,Lackawanna,Northeast,41.52458,-75.553656
Wildcat Ridge (Pine Line Inc),10000027,Data Center,NO,YES,Proposed (No Applications Received),UnsubmittedLocated,Archbald Borough,Lackawanna,Northeast,41.500385,-75.587248
Project Scott (Patrinely-Provident Real Estate),10000028,Data Center,NO,YES,Proposed (No Applications Received),UnsubmittedUnlocated,Archbald Borough,Lackawanna,Northeast,41.516635,-75.564383
Lower Mount Bethel Technology Center (Peron Development),10000029,Data Center,NO,YES,Proposed (No Applications Received),UnsubmittedLocated,Lower Mount Bethel Township,Northampton,Northeast,40.803772,-75.109743
River Pointe Data Center,10000030,Data Center,NO,YES,Proposed (No Applications Received),UnsubmittedLocated,Upper Mount Bethel Township,Northampton,Northeast,40.91249,-75.099765
