operator,owner,tenant,location,state,lat,lon,filing_llc,attribution,src
Google,self,Google,The Dalles,OR,45.59,-121.18,"Land-acquisition shells: Jet Stream LLC, Sharka LLC",first_party,google_dc
Google,self,Google,Council Bluffs,IA,41.26,-95.86,"Land-acquisition shells: Jet Stream LLC, Sharka LLC",first_party,google_dc
Google,self,Google,Douglas County,GA,33.75,-84.75,"Land-acquisition shells: Jet Stream LLC, Sharka LLC",first_party,google_dc
Google,self,Google,Ellis County,TX,32.35,-96.85,"Land-acquisition shells: Jet Stream LLC, Sharka LLC",first_party,google_dc
Google,self,Google,Henderson,NV,36.04,-114.98,"Land-acquisition shells: Jet Stream LLC, Sharka LLC",first_party,google_dc
Google,self,Google,New Carlisle,IN,41.7,-86.51,"Land-acquisition shells: Jet Stream LLC, Sharka LLC",first_party,google_dc
Google,self,Google,Jackson County,AL,34.75,-85.86,"Land-acquisition shells: Jet Stream LLC, Sharka LLC",first_party,google_dc
Google,self,Google,Lenoir,NC,35.91,-81.54,"Land-acquisition shells: Jet Stream LLC, Sharka LLC",first_party,google_dc
Google,self,Google,Mayes County,OK,36.31,-95.32,"Land-acquisition shells: Jet Stream LLC, Sharka LLC",first_party,google_dc
Google,self,Google,Midlothian,TX,32.48,-96.99,"Land-acquisition shells: Jet Stream LLC, Sharka LLC",first_party,google_dc
Google,self,Google,Montgomery County,TN,36.53,-87.36,"Land-acquisition shells: Jet Stream LLC, Sharka LLC",first_party,google_dc
Google,self,Google,Northern Virginia,VA,39.02,-77.48,"Land-acquisition shells: Jet Stream LLC, Sharka LLC",first_party,google_dc
Google,self,Google,Papillion,NE,41.15,-96.04,"Land-acquisition shells: Jet Stream LLC, Sharka LLC",first_party,google_dc
Google,self,Google,Red Oak,TX,32.52,-96.8,"Land-acquisition shells: Jet Stream LLC, Sharka LLC",first_party,google_dc
Google,self,Google,Storey County,NV,39.44,-119.42,"Land-acquisition shells: Jet Stream LLC, Sharka LLC",first_party,google_dc
Google,self,Google,New Albany (Central Ohio),OH,40.08,-82.81,"Land-acquisition shells: Jet Stream LLC, Sharka LLC",first_party,google_dc
Google,self,Google,Omaha,NE,41.26,-95.94,"Land-acquisition shells: Jet Stream LLC, Sharka LLC",first_party,google_dc
Google,self,Google,The Lowcountry (Berkeley Co.),SC,33.2,-80.01,"Land-acquisition shells: Jet Stream LLC, Sharka LLC",first_party,google_dc
Meta,self,Meta,Prineville,OR,44.3,-120.83,"Codename shells: Greater Kudu, Raven Northbrook, Stadion, Wobniar, Pinnacle Mountain",first_party,meta_dc
Meta,self,Meta,Altoona,IA,41.64,-93.46,"Codename shells: Greater Kudu, Raven Northbrook, Stadion, Wobniar, Pinnacle Mountain",first_party,meta_dc
Meta,self,Meta,Fort Worth,TX,32.76,-97.33,"Codename shells: Greater Kudu, Raven Northbrook, Stadion, Wobniar, Pinnacle Mountain",first_party,meta_dc
Meta,self,Meta,Temple,TX,31.1,-97.34,"Codename shells: Greater Kudu, Raven Northbrook, Stadion, Wobniar, Pinnacle Mountain",first_party,meta_dc
Meta,self,Meta,El Paso,TX,31.76,-106.49,"Codename shells: Greater Kudu, Raven Northbrook, Stadion, Wobniar, Pinnacle Mountain",first_party,meta_dc
Meta,self,Meta,Los Lunas,NM,34.81,-106.73,"Codename shells: Greater Kudu, Raven Northbrook, Stadion, Wobniar, Pinnacle Mountain",first_party,meta_dc
Meta,self,Meta,New Albany,OH,40.08,-82.8,"Codename shells: Greater Kudu, Raven Northbrook, Stadion, Wobniar, Pinnacle Mountain",first_party,meta_dc
Meta,self,Meta,Bowling Green,OH,41.37,-83.65,"Codename shells: Greater Kudu, Raven Northbrook, Stadion, Wobniar, Pinnacle Mountain",first_party,meta_dc
Meta,self,Meta,DeKalb,IL,41.93,-88.75,"Codename shells: Greater Kudu, Raven Northbrook, Stadion, Wobniar, Pinnacle Mountain",first_party,meta_dc
Meta,self,Meta,Forest City,NC,35.33,-81.86,"Codename shells: Greater Kudu, Raven Northbrook, Stadion, Wobniar, Pinnacle Mountain",first_party,meta_dc
Meta,self,Meta,Gallatin,TN,36.39,-86.45,"Codename shells: Greater Kudu, Raven Northbrook, Stadion, Wobniar, Pinnacle Mountain",first_party,meta_dc
Meta,self,Meta,Stanton Springs (Newton Co.),GA,33.6,-83.71,"Codename shells: Greater Kudu, Raven Northbrook, Stadion, Wobniar, Pinnacle Mountain",first_party,meta_dc
Meta,self,Meta,Sarpy County,NE,41.1,-96.11,"Codename shells: Greater Kudu, Raven Northbrook, Stadion, Wobniar, Pinnacle Mountain",first_party,meta_dc
Meta,self,Meta,Eagle Mountain,UT,40.31,-112.01,"Codename shells: Greater Kudu, Raven Northbrook, Stadion, Wobniar, Pinnacle Mountain",first_party,meta_dc
Meta,self,Meta,Mesa,AZ,33.42,-111.83,"Codename shells: Greater Kudu, Raven Northbrook, Stadion, Wobniar, Pinnacle Mountain",first_party,meta_dc
Meta,self,Meta,Huntsville,AL,34.73,-86.59,"Codename shells: Greater Kudu, Raven Northbrook, Stadion, Wobniar, Pinnacle Mountain",first_party,meta_dc
Meta,self,Meta,Montgomery,AL,32.37,-86.3,"Codename shells: Greater Kudu, Raven Northbrook, Stadion, Wobniar, Pinnacle Mountain",first_party,meta_dc
Meta,self,Meta,Kuna,ID,43.49,-116.42,"Codename shells: Greater Kudu, Raven Northbrook, Stadion, Wobniar, Pinnacle Mountain",first_party,meta_dc
Meta,self,Meta,Jeffersonville,IN,38.28,-85.74,"Codename shells: Greater Kudu, Raven Northbrook, Stadion, Wobniar, Pinnacle Mountain",first_party,meta_dc
Meta,self,Meta,Lebanon,IN,40.05,-86.47,"Codename shells: Greater Kudu, Raven Northbrook, Stadion, Wobniar, Pinnacle Mountain",first_party,meta_dc
Meta,self,Meta,Richland Parish,LA,32.47,-91.75,"Codename shells: Greater Kudu, Raven Northbrook, Stadion, Wobniar, Pinnacle Mountain",first_party,meta_dc
Meta,self,Meta,Rosemount,MN,44.74,-93.13,"Codename shells: Greater Kudu, Raven Northbrook, Stadion, Wobniar, Pinnacle Mountain",first_party,meta_dc
