id,name,operator,owner,tenant,filing_llc,locality,state,lat,lon,size_mw,acres,announced,rezoning_filed,hearing_date,decided_date,outcome,stage,days_to_hearing,note,source,as_of,verified
pw-digital-gateway-va,PW Digital Gateway,Compass Datacenters / QTS,,,,Prince William County,VA,38.72,-77.55,,2100,,,,2026-04-01,withdrawn,Withdrawn,,"Approved in 2023 (4-3-1) but the rezoning was judicially voided over defective hearing notice; county and developer dropped their appeals in 2026, ending the project as approved.",https://northernvirginiamag.com/news/2026/07/08/prince-william-county-votes-against-massive-data-center-plan/,2026-08-07,True
plaza-500-lincolnia-va,Plaza 500 (Lincolnia),Starwood Capital Group,,,,Lincolnia (Fairfax County),VA,38.81,-77.15,,34,,2026-07-16,2026-09-24,,,Hearing scheduled,42,"By-right data center on the 34-acre 6299 Edsall Road site; the required substation faces a Fairfax County Planning Commission Public Facilities (2232) review on Sept 24, 2026 amid organized opposition.",https://www.ffxnow.com/2026/08/04/pressure-grows-on-fairfax-county-to-deny-substation-for-data-center-in-lincolnia/,2026-08-07,True
project-iron-spur-rural-hall-nc,Project Iron Spur,,,,Project Iron Spur,Rural Hall (Forsyth County),NC,36.24,-80.29,,129,,,2026-07-30,,,Awaiting decision,-14,"~129-acre hyperscale campus proposed across from Rural Hall town hall; Forsyth County Planning Board recommended denial. Commissioners held the public hearing July 30, 2026 - decision pending.",https://www.wfdd.org/politics-government/2026-07-28/proposed-rural-hall-data-center-up-for-public-hearing-thursday,2026-08-07,True
meta-hyperion-richland-parish-la,Meta Hyperion,Meta,Meta / Blue Owl,Meta,,Richland Parish,LA,32.42,-91.76,5000,,,,,2026-01-01,approved,Approved,,"Approved and under construction - a ~5 GW, ~$27B campus. Louisiana approved new Entergy natural-gas generation to serve it; ratepayer cost allocation is the live fight, not the siting.",https://www.nola.com/news/business/meta-louisiana-ai-data-center-richland-parish/article_d1308014-c718-4c34-a75f-476a151ef1a7.html,2026-08-07,True
burkhalter-road-statesboro-ga,Burkhalter Road data center (4AM Development),,,,"4AM Development, LLC",Statesboro (Bulloch County),GA,32.45,-81.78,,26.5,,,2026-08-18,,,Hearing scheduled,5,"Two-story 230,000 sq ft data center plus a 32,000 sq ft substation on ~26.5 acres at 6539 Burkhalter Road (R-4 residential to Office & Business rezoning). Planning Commission recommended approval 5-1; City Council decides Aug 18, 2026. Bulloch County, separately, has been extending data-center moratoriums.",https://www.wtoc.com/2026/08/04/statesboro-planning-commission-backs-proposed-data-center-rezoning-5-1-vote/,2026-08-07,True
erwin-street-tyler-tx,West Erwin Street data center (Barrio Resources),,,,Barrio Resources LLC,Tyler (Smith County),TX,32.35,-95.3,,1.92,,,,2026-07-07,denied,Denied,,"Special use permit for a bitcoin-mining data center on ~1.92 acres near downtown (W. Erwin St & N. Ross Ave) denied 5-2 by the Planning & Zoning Commission - staff found it inconsistent with the Future Land Use Map and comprehensive plan, after resident opposition over water, noise, and proximity to homes. Applicant may appeal.",https://tylerpaper.com/2026/07/08/tyler-planning-and-zoning-commission-denies-special-use-permit-for-proposed-data-center/,2026-08-07,True
aligned-pataskala-oh,Aligned Data Centers - Pataskala industrial park,Aligned Data Centers,,,,Pataskala (Licking County),OH,39.99,-82.67,200,89,,,2026-08-25,,,Hearing scheduled,12,"200 MW campus in three buildings on ~89 acres at Broad St SW & Mink St SW. Planning & Zoning recommended rejection 5-2 after protests filled City Hall; City Council decides Aug 25, 2026 (5:30 p.m.). Council has separately advanced a ballot measure that could ban large data centers.",https://www.thereportingproject.org/pataskala-planning-board-says-city-council-should-reject-aligned-data-centers-proposal/,2026-08-07,True
king-of-prussia-mlp-pa,King of Prussia campus (MLP Ventures),MLP Ventures (Brian O'Neill),,,,Upper Merion Township (Montgomery County),PA,40.09,-75.38,,,2026-05-28,2026-03-01,,,,In review,,"Five-site, 4.6M sq ft campus across King of Prussia. Applications were filed in early March 2026, roughly ten days before Upper Merion's new data-center ordinance took effect - exempting them from its residential buffer, noise, and water-use rules. The township Planning Commission voted against three of the proposals in July 2026; review continues amid packed hearings and organized opposition.",https://6abc.com/post/proposed-king-prussia-data-center-campus-faces-renewed-scrutiny-review-continues/19560357/,2026-08-07,True
aws-calvert-technology-center-md,AWS Calvert Technology Center,Amazon (AWS),Constellation Energy Group (parcels),Amazon (AWS),Amazon Data Services Inc.,Lusby (Calvert County),MD,38.42,-76.45,,,,2026-05-04,,2026-08-04,withdrawn,Withdrawn,,"Eight data center buildings (266,000-332,000 sq ft each) proposed at 1650 Calvert Cliffs Parkway on Constellation-owned parcels near the Calvert Cliffs nuclear plant. AWS formally withdrew the concept site plan on Aug 4, 2026 - after first-round county review comments and before any resubmission. Timeline documented on the county's own project page.",https://www.calvertcountymd.gov/4059/Amazon-Web-Services,2026-08-07,True
xai-colossus-memphis-tn,xAI Colossus,xAI,,xAI,,Memphis (Shelby County),TN,35.06,-90.15,2000,,,,,,approved,Approved,,"Operating and expanding (~$20B, ~2 GW ambition). The live fight is air quality: on-site gas turbines in southwest Memphis - an area already failing federal ozone standards - drew a Clean Air Act suit. Environmental groups' tracking put unpermitted turbines at 27 in Feb 2026, growing to 59 by mid-2026 across the Colossus complex (incl. Colossus 2 in Southaven, MS).",https://earthjustice.org/case/xai-illegal-gas-power-plant-data-center-colossus,2026-08-07,True
